mood_score,stress_level,energy_level,sleep_hours,sleep_quality,focus_level,motivation_level,restlessness_level,work_study_pressure,physical_activity_minutes,hydration_cups,social_withdrawal,burnout_score,burnout_risk,stress_score,stress_class,mood_wellbeing_score,mood_class
1,1,2,6.8,5,1,3,1,5,57,7,2,35.55,mild,26.99,low,49.43,neutral
4,1,2,4.6,4,4,3,3,3,84,0,2,41.4,mild,45.63,mild,51.19,neutral
4,4,3,6.5,3,2,1,5,3,53,7,1,46.68,moderate,50.75,moderate,30.32,low
3,4,4,5.1,4,3,5,3,2,102,3,1,33.23,mild,31.03,mild,71.77,good
3,4,2,6.3,3,5,3,4,4,58,9,3,49.18,moderate,67.72,moderate,48.93,neutral
5,5,4,2.5,5,2,1,4,5,120,3,5,59.86,moderate,76.78,high,31.16,low
1,3,4,4.8,1,5,1,4,4,120,12,2,64.6,moderate,60.64,moderate,43.51,neutral
4,5,1,9.4,2,3,4,4,3,51,1,4,69.86,moderate,59.84,moderate,30.69,low
2,4,5,8.3,2,5,4,5,4,92,11,1,47.48,moderate,75.41,high,54.28,neutral
1,2,1,9.2,5,5,3,1,2,54,0,5,51.61,moderate,24.66,low,51.08,neutral
3,5,4,9.3,3,5,3,5,1,105,8,3,36.91,mild,30.25,mild,75.26,good
5,1,3,8.0,4,2,1,5,4,92,4,3,40.42,mild,60.49,moderate,34.36,low
4,3,4,6.0,5,4,1,5,1,40,2,2,48.27,moderate,19.46,low,31.33,low
4,5,4,4.9,1,2,3,2,1,38,2,5,63.24,moderate,41.06,mild,43.36,neutral
4,4,4,8.9,5,5,2,3,4,106,0,3,54.5,moderate,56.96,moderate,70.98,good
4,5,4,6.9,1,5,2,2,3,65,1,1,42.26,mild,37.07,mild,52.11,neutral
3,1,5,11.0,4,4,2,5,5,84,5,3,51.32,moderate,60.19,moderate,60.44,neutral
1,3,4,6.1,4,5,4,3,5,81,2,3,44.6,mild,58.37,moderate,65.09,good
5,4,5,10.4,5,3,2,2,1,20,12,4,40.91,mild,20.62,low,71.97,good
3,4,3,6.5,1,1,2,4,4,28,10,3,75.16,elevated,80.33,high,25.03,low
3,5,2,9.2,5,5,2,1,2,108,6,2,39.38,mild,11.34,low,55.83,neutral
2,3,2,9.9,4,3,4,2,4,33,1,1,34.64,mild,56.77,moderate,59.57,neutral
1,4,4,5.0,1,1,1,2,1,105,12,5,79.09,elevated,39.75,mild,46.25,neutral
5,3,3,5.9,3,1,5,2,3,43,9,1,40.21,mild,33.86,mild,60.83,neutral
4,5,1,4.9,5,4,3,3,4,102,2,2,55.57,moderate,53.56,moderate,48.83,neutral
4,1,2,4.6,3,5,2,1,3,69,0,1,32.05,mild,11.12,low,45.0,neutral
3,2,5,8.0,2,4,4,5,3,12,8,2,18.79,low,54.84,moderate,73.01,good
5,1,4,6.4,2,3,5,3,1,32,0,1,21.51,low,38.16,mild,66.66,good
3,4,4,6.9,3,2,1,2,1,115,7,2,40.09,mild,6.32,low,53.99,neutral
3,2,1,7.8,5,3,2,1,4,25,5,5,45.49,moderate,41.12,mild,44.59,neutral
3,2,1,3.5,4,2,1,5,3,27,11,2,59.58,moderate,47.15,mild,32.4,low
2,5,2,9.1,4,2,1,5,3,18,4,5,45.43,moderate,47.24,mild,35.05,low
1,2,5,6.2,4,1,4,3,2,73,5,4,45.76,moderate,35.22,mild,73.51,good
3,1,3,7.8,4,3,1,2,1,97,7,5,33.93,mild,24.38,low,37.2,low
5,1,4,7.9,3,2,2,3,4,113,12,4,36.73,mild,53.86,moderate,36.38,low
1,2,3,9.3,4,1,5,5,1,107,9,5,46.03,moderate,61.16,moderate,45.52,neutral
5,5,3,6.6,2,2,4,2,4,106,8,3,51.14,moderate,57.84,moderate,35.48,low
5,3,4,3.0,3,4,4,4,1,109,4,5,41.83,mild,41.1,mild,78.45,good
2,5,5,6.9,2,3,1,5,5,68,6,1,66.23,moderate,61.28,moderate,33.61,low
4,2,3,7.2,5,3,5,4,2,99,2,5,35.12,mild,43.05,mild,58.24,neutral
